signature,intended_referent,dominant_carrier,lymphoid_share,myeloid_share,immune_share,malignant_share,intent_carrier_concordant,discordant_tumour_intrinsic
T_axis,tumour-intrinsic,CD8_T,0.8629283383488655,0.13413453102111816,0.9970628693699837,0.0007919137715362012,False,True
E_axis,immune,CD8_T,0.982847862644121,0.015799513086676598,0.9986473757307976,0.00019283157598692924,True,False
X_axis,mixed-stroma-weighted,CD8_T,0.7383221350610256,0.25812745094299316,0.9964495860040188,0.0005767756374552846,False,False
C_axis,immune,CD8_T,0.9478309284895658,0.049147143959999084,0.9969780724495649,0.00010479525371920317,True,False
CYT,immune,CD8_T,0.9945665495470166,0.0039223721250891685,0.9984889216721058,0.00019011607218999416,True,False
IFNG6,immune,CD8_T,0.8565475903451443,0.1406269669532776,0.9971745572984219,0.000264685251750052,True,False
TIS18,immune,CD8_T,0.9351310674101114,0.06231529638171196,0.9974463637918234,0.00017964497965294868,True,False
CD274,mixed,Myeloid,0.6373047437518835,0.3570954203605652,0.9944001641124487,0.0004478967166505754,False,False
MKI67,tumour-intrinsic,CD8_T,0.8965565674006939,0.094767726957798,0.9913242943584919,0.0,False,True
