cohort_code,modality,platform,n_samples,n_expression_files,n_files_local,expression_file_status,source_expressions,mapped_features,unique_canonical_genes,enters_core_gene_space
GSE199333,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE199359,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE200996,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE201047,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE20181,microarray,GPL96,176,1,1,LOCAL_SOURCE_PRESENT,GSE20181_array,20048,12515,True
GSE20194,bulk RNA-seq,NOT_MEASURED,1,1,0,SOURCE_NOT_LOCAL,,0,0,False
GSE202051,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE205506,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE207356,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE207422,bulk RNA-seq,NOT_MEASURED,24,1,1,LOCAL_SOURCE_PRESENT,GSE207422_bulk,34965,34848,True
GSE207422,scRNA-seq,NOT_MEASURED,15,1,1,LOCAL_SOURCE_PRESENT,GSE207422_bulk,34965,34848,True
GSE210079,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE211504,scRNA-seq,NOT_MEASURED,8,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE212217,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE213243,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE216329,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE217245,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE22093,bulk RNA-seq,NOT_MEASURED,1,1,0,SOURCE_NOT_LOCAL,,0,0,False
GSE221553,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE222556,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE225689,bulk RNA-seq,NOT_MEASURED,1,0,0,SOURCE_NOT_LOCAL,,0,0,False
