source_expression,status,cohort_codes,modalities,platform,expression_file,declared_feature_type,local_samples,source_features,mapped_features,mapped_fraction,unique_canonical_genes,exact_mapping_fraction,alias_fraction,previous_symbol_fraction,platform_annotation_fraction,ambiguous_fraction,unmapped_fraction,n_exact,n_alias,n_previous_symbol,n_platform_annotation,n_ambiguous,n_unmapped,duplicate_features,features_per_canonical_gene,enters_core_gene_space,unmapped_methods,unmapped_token_patterns
GSE310856_bulk,MAPPED,GSE310856,bulk RNA-seq,NOT_MEASURED,longitudinal-data/data/raw/GSE310856/GSE310856_raw_counts.txt.gz,GENE_SYMBOL,33,59385,39479,0.6648,39362,0.6486,0.0024,0.0139,0.0,0.0001,0.3351,38515,141,823,0,6,19900,0,1.003,True,"{""NOT_IN_HGNC"": 19243, ""ENSEMBL_GENE_ID_NOT_IN_HGNC"": 657}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 1, ""excel_date_corrupted_symbol"": 0}"
GSE319641_bulk,MAPPED,GSE319641,bulk RNA-seq,unspecified_author_ComBat_TPM,longitudinal-data/data/raw/GSE319641/GSE319641_NeoTRIP_baseline_D1C2_TPM_ComBat_all_samples.txt.gz,GENE_SYMBOL,401,23890,23889,1.0,23884,0.9948,0.0,0.0052,0.0,0.0,0.0,23765,0,124,0,0,1,0,1.0,True,"{""NOT_IN_HGNC"": 1}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE319794_bulk,MAPPED,GSE319794,bulk RNA-seq,NOT_MEASURED,longitudinal-data/data/raw/GSE319794/GSE319794_NovaSeq36_ProteinCoding_TPM.txt.gz,GENE_SYMBOL,41,18952,18811,0.9926,18800,0.9484,0.0002,0.044,0.0,0.0002,0.0073,17974,3,834,0,3,138,0,1.001,True,"{""NOT_IN_HGNC"": 138}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE3578_array,MAPPED,GSE3578,microarray,GPL2895,longitudinal-data/data/raw/GSE3578/GSE3578_series_matrix.txt.gz,SPOTTED_CDNA_PROBE_ID,78,54359,23841,0.4386,18423,0.0,0.0,0.0,0.4386,0.0166,0.5448,0,0,0,23841,904,29614,0,1.294,False,"{""PLATFORM_ANNOTATION:GPL2895:ANNOTATION_WITHOUT_GENE_ASSIGNMENT"": 28807, ""PLATFORM_ANNOTATION:GPL2895:ANNOTATION_GENE_ID_NOT_IN_HGNC"": 807}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE55374_array,MAPPED,GSE55374,microarray,GPL10558,longitudinal-data/data/raw/GSE55374/GSE55374_series_matrix.txt.gz,ILLUMINA_PROBE_ID,36,47323,31058,0.6563,20550,0.0,0.0,0.0,0.6563,0.0003,0.3434,0,0,0,31058,14,16251,0,1.511,True,"{""PLATFORM_ANNOTATION:GPL10558:ANNOTATION_WITHOUT_GENE_ASSIGNMENT"": 16057, ""PLATFORM_ANNOTATION:GPL10558:ANNOTATION_GENE_ID_NOT_IN_HGNC"": 194}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE65303_array,MAPPED,GSE65303,microarray,GPL16876,longitudinal-data/data/raw/GSE65303/GSE65303_series_matrix.txt.gz,AGILENT_PROBE_ID,18,44708,30137,0.6741,18745,0.0,0.0,0.0,0.6741,0.0014,0.3245,0,0,0,30137,63,14508,0,1.608,True,"{""PLATFORM_ANNOTATION:GPL16876:ANNOTATION_WITHOUT_GENE_ASSIGNMENT"": 12499, ""PLATFORM_ANNOTATION:GPL16876:ANNOTATION_GENE_ID_NOT_IN_HGNC"": 2009}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE87455_array,MAPPED,GSE87455,microarray,GPL10558,longitudinal-data/data/raw/GSE87455/GSE87455_series_matrix.txt.gz,ILLUMINA_PROBE_ID,275,47323,31058,0.6563,20550,0.0,0.0,0.0,0.6563,0.0003,0.3434,0,0,0,31058,14,16251,0,1.511,True,"{""PLATFORM_ANNOTATION:GPL10558:ANNOTATION_WITHOUT_GENE_ASSIGNMENT"": 16057, ""PLATFORM_ANNOTATION:GPL10558:ANNOTATION_GENE_ID_NOT_IN_HGNC"": 194}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
GSE91061_bulk,MAPPED,GSE91061,bulk RNA-seq,NOT_MEASURED,data/raw/GSE91061_BMS038109Sample.hg19KnownGene.fpkm.csv.gz,ENTREZ_GENE_ID,108,22187,21813,0.9831,21813,0.9831,0.0,0.0,0.0,0.0,0.0168,21813,0,0,0,1,373,0,1.0,True,"{""ENTREZ_GENE_ID_NOT_IN_HGNC"": 373}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
MGH_GSE115821_bulk,MAPPED,MGH,bulk RNA-seq,NOT_MEASURED,data/raw/GSE115821_MGH_counts.csv.gz,GENE_SYMBOL,21,75253,21021,0.2793,20997,0.2643,0.0002,0.0149,0.0,0.0001,0.7206,19889,14,1118,0,4,54228,2,1.001,False,"{""NOT_IN_HGNC"": 54228}","{""NONHSAG_legacy_noncoding_id"": 54071, ""LOC_retired_locuslink_id"": 73, ""excel_date_corrupted_symbol"": 28}"
MGH_GSE168204_bulk,MAPPED,MGH,bulk RNA-seq,NOT_MEASURED,data/raw/GSE168204_MGH_counts.csv.gz,GENE_SYMBOL,24,75253,21048,0.2797,21023,0.2643,0.0002,0.0152,0.0,0.0001,0.7203,19889,14,1145,0,4,54201,0,1.001,False,"{""NOT_IN_HGNC"": 54201}","{""NONHSAG_legacy_noncoding_id"": 54071, ""LOC_retired_locuslink_id"": 73, ""excel_date_corrupted_symbol"": 0}"
MORRISON_bulk,MAPPED,MORRISON_038|MORRISON_064|MORRISON_067|MORRISON_gide|MORRISON_liu|MORRISON_va,bulk RNA-seq,NOT_MEASURED,data/raw/MORRISON-1-public/RNASeq/data/RNA-CancerCell-MORRISON1-no_batch_correction-logcpm-all_samples.tsv,GENE_SYMBOL,442,21082,21070,0.9994,21050,0.9627,0.0,0.0367,0.0,0.0001,0.0004,20296,1,773,0,3,9,0,1.001,True,"{""NOT_IN_HGNC"": 9}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
TRIO_US_B07_array,MAPPED,TRIO_US_B07,two-channel microarray,GPL6480,longitudinal-data/data/raw/GSE130786/GSE130786_series_matrix.txt.gz,AGILENT_PROBE_ID,1,41000,30229,0.7373,19098,0.0,0.0,0.0,0.7373,0.0009,0.2618,0,0,0,30229,38,10733,0,1.583,True,"{""PLATFORM_ANNOTATION:GPL6480:ANNOTATION_WITHOUT_GENE_ASSIGNMENT"": 10277, ""PLATFORM_ANNOTATION:GPL6480:ANNOTATION_GENE_ID_NOT_IN_HGNC"": 456}","{""NONHSAG_legacy_noncoding_id"": 0, ""LOC_retired_locuslink_id"": 0, ""excel_date_corrupted_symbol"": 0}"
