cohort,analysis_unit,n,n_R,n_NR,auc_canonical,p_canonical,auc_historical,p_historical,ci_low,ci_high,role
PRJEB23709,biopsy sample,18,11,7,0.8441558441558441,0.02097902097902098,0.8571428571428571,0.008,0.5714285714285714,1.0,core
MORRISON-1-public,biopsy sample,38,10,28,0.825,0.001998001998001998,0.825,0.000999,0.6142857142857143,0.9821428571428571,core
MGH sample-level,biopsy sample,29,5,24,0.675,0.23276723276723277,0.6916666666666667,0.1179,0.36666666666666664,0.9666666666666667,supportive
MGH patient-level,patient,14,4,10,0.825,0.07592407592407592,0.825,0.042,0.475,1.0,supportive_different_unit
