sign_pattern_index,null_mean_delta_L
0,-0.081308105262293
1,-0.0813872673614416
2,-0.0813296302361789
3,-0.0814087923353275
4,-0.081336201312022
5,-0.0814153634111707
6,-0.0813577262859079
7,-0.0814368883850566
8,-0.0407293894265466
9,-0.0408085515256952
10,-0.0407509144004325
11,-0.0408300764995811
12,-0.0407574854762756
13,-0.0408366475754243
14,-0.0407790104501615
15,-0.0408581725493102
16,-0.0074611476624766
17,-0.0075403097616252
18,-0.0074826726363625
19,-0.0075618347355111
20,-0.0074892437122056
21,-0.0075684058113543
22,-0.0075107686860915
23,-0.0075899307852402
24,0.0331175681732697
25,0.0330384060741211
26,0.0330960431993838
27,0.0330168811002352
28,0.0330894721235406
29,0.033010310024392
30,0.0330679471496548
31,0.0329887850505061
32,-0.0817345155694981
33,-0.0818136776686468
34,-0.081756040543384
35,-0.0818352026425327
36,-0.0817626116192272
37,-0.0818417737183759
38,-0.0817841365931131
39,-0.0818632986922617
40,-0.0411557997337518
41,-0.0412349618329004
42,-0.0411773247076376
43,-0.0412564868067863
44,-0.0411838957834808
45,-0.0412630578826295
46,-0.0412054207573667
47,-0.0412845828565153
48,-0.0078875579696818
49,-0.0079667200688304
50,-0.0079090829435676
51,-0.0079882450427163
52,-0.0079156540194108
53,-0.0079948161185595
54,-0.0079371789932967
55,-0.0080163410924453
56,0.0326911578660645
57,0.0326119957669159
58,0.0326696328921786
59,0.03259047079303
60,0.0326630618163355
61,0.0325838997171868
62,0.0326415368424496
63,0.0325623747433009
64,-0.0777852038982695
65,-0.0778643659974181
66,-0.0778067288721554
67,-0.077885890971304
68,-0.0778132999479986
69,-0.0778924620471472
70,-0.0778348249218845
71,-0.0779139870210331
72,-0.0372064880625231
73,-0.0372856501616718
74,-0.037228013036409
75,-0.0373071751355576
76,-0.0372345841122522
77,-0.0373137462114008
78,-0.0372561090861381
79,-0.0373352711852867
80,-0.0039382462984531
81,-0.0040174083976018
82,-0.003959771272339
83,-0.0040389333714876
84,-0.0039663423481822
85,-0.0040455044473308
86,-0.0039878673220681
87,-0.0040670294212167
88,0.0366404695372932
89,0.0365613074381445
90,0.0366189445634073
91,0.0365397824642587
92,0.0366123734875641
93,0.0365332113884155
94,0.0365908485136782
95,0.0365116864145296
96,-0.0782116142054747
97,-0.0782907763046233
98,-0.0782331391793606
99,-0.0783123012785092
100,-0.0782397102552037
101,-0.0783188723543524
102,-0.0782612352290896
103,-0.0783403973282383
104,-0.0376328983697283
105,-0.0377120604688769
106,-0.0376544233436142
107,-0.0377335854427628
108,-0.0376609944194574
109,-0.037740156518606
110,-0.0376825193933432
111,-0.0377616814924919
112,-0.0043646566056583
113,-0.0044438187048069
114,-0.0043861815795442
115,-0.0044653436786928
116,-0.0043927526553874
117,-0.004471914754536
118,-0.0044142776292733
119,-0.0044934397284219
120,0.036214059230088
121,0.0361348971309394
122,0.0361925342562021
123,0.0361133721570535
124,0.0361859631803589
125,0.0361068010812103
126,0.036164438206473
127,0.0360852761073244
128,-0.0816891900315564
129,-0.0817683521307051
130,-0.0817107150054423
131,-0.081789877104591
132,-0.0817172860812855
133,-0.0817964481804342
134,-0.0817388110551714
135,-0.08181797315432
136,-0.04111047419581
137,-0.0411896362949587
138,-0.0411319991696959
139,-0.0412111612688446
140,-0.0411385702455391
141,-0.0412177323446878
142,-0.041160095219425
143,-0.0412392573185736
144,-0.0078422324317401
145,-0.0079213945308887
146,-0.0078637574056259
147,-0.0079429195047746
148,-0.0078703284814691
149,-0.0079494905806178
150,-0.007891853455355
151,-0.0079710155545036
152,0.0327364834040062
153,0.0326573213048576
154,0.0327149584301204
155,0.0326357963309717
156,0.0327083873542772
157,0.0326292252551285
158,0.0326868623803913
159,0.0326077002812427
160,-0.0821156003387616
161,-0.0821947624379103
162,-0.0821371253126475
163,-0.0822162874117961
164,-0.0821436963884907
165,-0.0822228584876393
166,-0.0821652213623766
167,-0.0822443834615252
168,-0.0415368845030152
169,-0.0416160466021639
170,-0.0415584094769011
171,-0.0416375715760497
172,-0.0415649805527443
173,-0.0416441426518929
174,-0.0415865055266302
175,-0.0416656676257788
176,-0.0082686427389452
177,-0.0083478048380939
178,-0.0082901677128311
179,-0.0083693298119798
180,-0.0082967387886743
181,-0.0083759008878229
182,-0.0083182637625602
183,-0.0083974258617088
184,0.0323100730968011
185,0.0322309109976524
186,0.0322885481229152
187,0.0322093860237665
188,0.032281977047072
189,0.0322028149479233
190,0.0322604520731861
191,0.0321812899740375
192,-0.078166288667533
193,-0.0782454507666816
194,-0.0781878136414189
195,-0.0782669757405675
196,-0.078194384717262
197,-0.0782735468164107
198,-0.0782159096911479
199,-0.0782950717902966
200,-0.0375875728317866
201,-0.0376667349309352
202,-0.0376090978056725
203,-0.0376882599048211
204,-0.0376156688815157
205,-0.0376948309806643
206,-0.0376371938554015
207,-0.0377163559545502
208,-0.0043193310677166
209,-0.0043984931668652
210,-0.0043408560416025
211,-0.0044200181407511
212,-0.0043474271174457
213,-0.0044265892165943
214,-0.0043689520913315
215,-0.0044481141904802
216,0.0362593847680297
217,0.0361802226688811
218,0.0362378597941438
219,0.0361586976949952
220,0.0362312887183006
221,0.036152126619152
222,0.0362097637444148
