readout,auc,ci_low,ci_high,mannwhitney_p,perm_p,n_R,n_NR,analysis_unit
boundary change,0.3272727272727272,0.0384615384615384,0.6786785714285715,0.3195970695970696,0.8541458541458542,11,5,therapy record
transition cosine,0.3636363636363636,,,0.440934065934066,0.7942057942057942,11,5,therapy record
